"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.752180760E2,5.233490207E1,4.863909660E0,4.708987236E0,NaN,NaN,3.500000000E1,1.642594528E1
4.812277700E2,5.233491261E1,4.863912038E0,4.714677751E0,NaN,NaN,3.500000000E1,1.946559525E1
4.812464510E2,5.233491476E1,4.863913160E0,4.717003047E0,NaN,NaN,3.500000000E1,1.634745789E1
4.872541350E2,5.233492668E1,4.863917703E0,4.713555932E0,NaN,NaN,3.500000000E1,1.944228172E1
4.874068290E2,5.233492735E1,4.863917915E0,4.714872479E0,NaN,NaN,3.500000000E1,1.646232224E1
4.934155790E2,5.233493447E1,4.863921326E0,4.722284675E0,NaN,NaN,3.500000000E1,1.947536469E1
4.947563421E2,5.233492247E1,4.863920629E0,4.702390552E0,NaN,NaN,3.500000000E1,1.751103401E1
5.007647990E2,5.233491157E1,4.863915528E0,4.715811491E0,NaN,NaN,3.500000000E1,1.977227974E1
5.008035940E2,5.233491138E1,4.863915128E0,4.721125662E0,NaN,NaN,3.500000000E1,1.654557800E1
5.068113210E2,5.233492293E1,4.863924571E0,4.728855073E0,NaN,NaN,3.500000000E1,1.949836731E1
5.114090940E2,5.233491064E1,4.863910898E0,4.738992631E0,NaN,NaN,3.500000000E1,1.963498306E1
