"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.795760690E2,5.233495644E1,4.863917616E0,3.493511975E0,NaN,NaN,3.800000000E1,1.655630684E1
2.855850940E2,5.233494960E1,4.863900475E0,3.526520133E0,NaN,NaN,3.800000000E1,1.950211525E1
2.859816020E2,5.233494851E1,4.863897285E0,3.536994219E0,NaN,NaN,3.800000000E1,1.672266006E1
2.877478499E2,5.233494755E1,4.863893875E0,3.544052482E0,NaN,NaN,3.800000000E1,1.653476143E1
2.937576439E2,5.233494698E1,4.863893640E0,3.520258307E0,NaN,NaN,3.800000000E1,1.949643707E1
2.941473960E2,5.233494727E1,4.863894540E0,3.515916586E0,NaN,NaN,3.800000000E1,1.671336555E1
2.959623799E2,5.233494741E1,4.863895111E0,3.512971520E0,NaN,NaN,3.800000000E1,1.657578468E1
3.019728789E2,5.233495557E1,4.863913609E0,3.525834441E0,NaN,NaN,3.800000000E1,1.950843239E1
3.024506849E2,5.233495849E1,4.863921624E0,3.411870122E0,NaN,NaN,3.800000000E1,1.679957581E1
3.084595720E2,5.233494984E1,4.863900772E0,3.455609441E0,NaN,NaN,3.800000000E1,1.957091904E1
3.088543299E2,5.233494842E1,4.863897386E0,3.447885394E0,NaN,NaN,3.800000000E1,1.675914764E1
3.105424039E2,5.233494690E1,4.863893756E0,3.442747951E0,NaN,NaN,3.800000000E1,1.647907639E1
3.165532490E2,5.233495840E1,4.863922248E0,3.367370367E0,NaN,NaN,3.800000000E1,1.948125839E1
3.166267380E2,5.233495943E1,4.863924808E0,3.407837927E0,NaN,NaN,3.800000000E1,1.640939522E1
3.226368990E2,5.233495037E1,4.863902359E0,3.448961973E0,NaN,NaN,3.800000000E1,1.946117210E1
3.231500959E2,5.233494850E1,4.863897903E0,3.458082139E0,NaN,NaN,3.800000000E1,1.680550766E1
3.248268230E2,5.233494678E1,4.863893775E0,3.464108527E0,NaN,NaN,3.800000000E1,1.649134064E1
3.308368449E2,5.233494663E1,4.863893126E0,3.469549119E0,NaN,NaN,3.800000000E1,1.948427582E1
3.313364660E2,5.233494712E1,4.863894282E0,3.496616602E0,NaN,NaN,3.800000000E1,1.680594063E1
3.331603880E2,5.233494742E1,4.863894995E0,3.514800787E0,NaN,NaN,3.800000000E1,1.662905121E1
3.391681130E2,5.233494761E1,4.863895473E0,3.521181226E0,NaN,NaN,3.800000000E1,1.952199936E1
3.397487780E2,5.233494759E1,4.863895469E0,3.519569755E0,NaN,NaN,3.800000000E1,1.689848518E1
3.415599480E2,5.233494759E1,4.863895493E0,3.518500149E0,NaN,NaN,3.800000000E1,1.666219139E1
